word_1	word_2	preverb_pair	frequency
PST	ITER	PST|ITER	147
PROG	PROG	PROG|PROG	128
PST	PST	PST|PST	121
ITER	INCH	ITER|INCH	92
PROG	ITER	PROG|ITER	91
PST	PROG	PST|PROG	86
PROG	INCH	PROG|INCH	81
PROG	on.arrival	PROG|on.arrival	77
PST	INCH	PST|INCH	74
PROG	PL	PROG|PL	65
PROG	PST	PROG|PST	64
PROG	then.2	PROG|then.2	60
ITER	PST	ITER|PST	59
INCH	PROG	INCH|PROG	58
3NEG	ITER	3NEG|ITER	55
INCH	PST	INCH|PST	51
INCH	INCH	INCH|INCH	50
EMPH	3NEG	EMPH|3NEG	48
PROG	go.to	PROG|go.to	45
then.2	ITER	then.2|ITER	42
then.2	INCH	then.2|INCH	38
ITER	ITER	ITER|ITER	37
go.to	ITER	go.to|ITER	35
3NEG	PST	3NEG|PST	32
ITER	PROG	ITER|PROG	30
PROG	suddenly	PROG|suddenly	30
PST	go.to	PST|go.to	27
PST	around	PST|around	27
PST	all	PST|all	26
go.to	PST	go.to|PST	25
PROG	thoroughly	PROG|thoroughly	23
3NEG	not.much	3NEG|not.much	22
INCH	PL	INCH|PL	21
PST	3NEG	PST|3NEG	21
already	INCH	already|INCH	21
ITER	all	ITER|all	21
PST	on.arrival	PST|on.arrival	20
3NEG	PROG	3NEG|PROG	19
go.to	PROG	go.to|PROG	19
around	PROG	around|PROG	18
INCH	ITER	INCH|ITER	18
PROG	3NEG	PROG|3NEG	18
PROG	at.last	PROG|at.last	18
PL	PROG	PL|PROG	18
NEG.EMPH	not.much	NEG.EMPH|not.much	17
around.2	PROG	around.2|PROG	17
PROG	in.vain	PROG|in.vain	16
PROG	around	PROG|around	16
INCH	almost	INCH|almost	16
PROG	CESS	PROG|CESS	15
PST	PFV	PST|PFV	15
CESS	PST	CESS|PST	15
ITER	3NEG	ITER|3NEG	14
EMPH	INCH	EMPH|INCH	14
PROG	FUT	PROG|FUT	14
PST	CESS	PST|CESS	14
around	ITER	around|ITER	14
around	PST	around|PST	13
on.arrival	ITER	on.arrival|ITER	13
in.vain	ITER	in.vain|ITER	13
PROG	all	PROG|all	12
on.arrival	PST	on.arrival|PST	12
PROG	PFV	PROG|PFV	12
all	PROG	all|PROG	12
CESS	PROG	CESS|PROG	12
PST	PL	PST|PL	12
thoroughly	PROG	thoroughly|PROG	12
PROG	very	PROG|very	12
INCH	go.to	INCH|go.to	12
1NEG	PST	1NEG|PST	11
around	INCH	around|INCH	11
