word_1	word_2	biword	frequency
crow	please	crow|please	1
please	call.kin.in.law	please|call.kin.in.law	1
please	be.related.by.marriage	please|be.related.by.marriage	1
NMLZ.A	PST	NMLZ.A|PST	15
PST	PFV	PST|PFV	11
PFV	go	PFV|go	3
PST	travel.in.boat	PST|travel.in.boat	1
child[pl]	PL	child[pl]|PL	1
PL	take	PL|take	2
3SBJ.DEF.	PST	3SBJ.DEF.|PST	170
PST	ITER	PST|ITER	120
ITER	come	ITER|come	82
what.int	all	what.int|all	1
all	do.with	all|do.with	1
stay	PROG	stay|PROG	1
PROG	all	PROG|all	11
all	stay[3sbj].	all|stay[3sbj].	1
if	UNK	if|UNK	1
1OBJ[3SBJ].	PST	1OBJ[3SBJ].|PST	1
PST	go	PST|go	37
PST	pursue	PST|pursue	1
PST	go.to	PST|go.to	13
go.to	ITER	go.to|ITER	34
ITER	from.behind	ITER|from.behind	5
from.behind	catch	from.behind|catch	2
crow	PST	crow|PST	2
ITER	bring	ITER|bring	2
eagle	PROG	eagle|PROG	1
PROG	do.so	PROG|do.so	8
LOC	PST	LOC|PST	6
PST	PROG	PST|PROG	53
PROG	sit	PROG|sit	5
EMP	PROG	EMP|PROG	5
PROG	put.back.same.way[3sbj]	PROG|put.back.same.way[3sbj]	1
LOC.	PST	LOC.|PST	8
PST	then	PST|then	9
then	die	then|die	1
pelican	PROG	pelican|PROG	1
PROG	catch.fish	PROG|catch.fish	1
PL	catch.fish	PL|catch.fish	1
pelican	INCH	pelican|INCH	1
INCH	steal	INCH|steal	1
3POSS	PROG	3POSS|PROG	24
PROG	catch	PROG|catch	2
eagle	PST	eagle|PST	3
PST	come	PST|come	14
PST	think	PST|think	80
be.good	3NEG	be.good|3NEG	11
3NEG	be.so[3sbj].	3NEG|be.so[3sbj].	1
be.so[3sbj].	PST	be.so[3sbj].|PST	1
3SBJ.DEF	go.to	3SBJ.DEF|go.to	9
go.to	look.for	go.to|look.for	5
AFF	PROG	AFF|PROG	13
PROG	on.arrival	PROG|on.arrival	75
on.arrival	fish.with.dip.net	on.arrival|fish.with.dip.net	1
PROH	ITER	PROH|ITER	10
ITER	do.so	ITER|do.so	3
pelican	PST	pelican|PST	1
PST	grab[3sbj].	PST|grab[3sbj].	1
grab[3sbj].	PST	grab[3sbj].|PST	1
PST	pull[3sbj]	PST|pull[3sbj]	1
by.hand[3sbj]	PROG	by.hand[3sbj]|PROG	1
PROG	UNK	PROG|UNK	7
on.arrival	build.fire	on.arrival|build.fire	1
3SBJ.IMPL.	PST	3SBJ.IMPL.|PST	4
PST	kill	PST|kill	11
INCH	catch.fish	INCH|catch.fish	3
another[pl]	PST	another[pl]|PST	1
PST	3NEG	PST|3NEG	7
3NEG	UNK	3NEG|UNK	3
be.good	PST	be.good|PST	2
PST	be.so[3sbj].	PST|be.so[3sbj].	5
be.so[3sbj].	around	be.so[3sbj].|around	1
around	go.to	around|go.to	8
go.to	catch.fish	go.to|catch.fish	1
relative.	PST	relative.|PST	1
PST	INCH	PST|INCH	56
INCH	give.food	INCH|give.food	1
3NEG	INCH	3NEG|INCH	3
be.so[3sbj]	PROG	be.so[3sbj]|PROG	2
PROG	feel.so[3sbj]	PROG|feel.so[3sbj]	1
fly[pl]	go.to	fly[pl]|go.to	1
go.to	UNK	go.to|UNK	1
skunk	PROG	skunk|PROG	1
PROG	PST	PROG|PST	12
PST	be.so[3sbj]	PST|be.so[3sbj]	4
elk	PST	elk|PST	2
PST	dance	PST|dance	1
3SBJ.DEF	cross	3SBJ.DEF|cross	1
cross	UNK	cross|UNK	2
elk.	PST	elk.|PST	1
PST	UNK	PST|UNK	7
SUB	POSS	SUB|POSS	2
POSS	AFF	POSS|AFF	1
PST	eat	PST|eat	2
POSS	FUT	POSS|FUT	1
FUT	kill	FUT|kill	1
skunk	ITER	skunk|ITER	1
ITER	be.cured	ITER|be.cured	1
PST	cut.through	PST|cut.through	1
skunk.	PST	skunk.|PST	1
ITER	go	ITER|go	51
EMP	CESS	EMP|CESS	2
CESS	grow	CESS|grow	1
DEM	INCH	DEM|INCH	11
INCH	do.so	INCH|do.so	3
PROG	go.about	PROG|go.about	4
stick	around	stick|around	3
around	carry	around|carry	6
around	hit	around|hit	2
3POSS	CESS	3POSS|CESS	2
CESS	PROB	CESS|PROB	6
PROB	see	PROB|see	1
around	drag	around|drag	1
DEM	around	DEM|around	19
around	do.so	around|do.so	1
when.nmlz	PROG	when.nmlz|PROG	5
PROG	happen	PROG|happen	7
go.to	gather.heracleum.lanatum	go.to|gather.heracleum.lanatum	1
on.arrival	land	on.arrival|land	1
INCH	gather.heracleum.lanatum	INCH|gather.heracleum.lanatum	1
soon	INCH	soon|INCH	1
INCH	carry.load.on.back.dim	INCH|carry.load.on.back.dim	1
